Operation,Cost,Imputation,Region,Division,Sub-Division,Accounting Sta.,Locality,Management m.,,Vote holder
BL Tignère : Construction des latrines(du Projet N° 2-30-02-222-231),2473,25310102243,,FARO ET DEO,TIGNERE,RECET FINA TIGNERE,TIGNERE,,,Chef BL
BL Tignère : Construction puits d'eau(du Projet N° 2-30-02-222-231),4500,025310102246,,FARO ET DEO,TIGNERE,RECET FINA TIGNERE,TIGNERE,,,Chef BL
NGAOUNDERE: Réfection résidence du A2(du Projet N° 2-30-02-222-019),4000,074310252238,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE,,,Préfet
Sous-prefecture BANKIM: Construction(du Projet N° 2-30-02-222-019),80000,074710022220,,MAYO BANYO,BANKIM,PAIERIE GENERALE,BANKIM,,,Ministre
BANYO : Réfection résidence du Sous-Préfet(du Projet N° 2-30-02-222-019),4950,074710042230,,MAYO BANYO,BANYO,RECET FINA BANYO,BANYO,,,Sous-Préfet
KONTCHA: Construction résidence du sous-prefet(du Projet N° 2-30-02-222-019),70000,074710262228,,FARO ET DEO,Sous préfecture KONTCHA,PAIERIE GENERALE,KONTCHA,,,Ministre
Prison de Banyo : refection bloc administratif(du Projet N° 3-56-01-222-082),7900,085110042220,,MAYO BANYO,BANYO,RECET FINA BANYO,BANYO,,,REGISSEUR
Prison de Meiganga : achat moulins à céréales(du Projet N° 3-56-01-227-083),1500,085110182279,,MBERE,MEIGANGA,RECET FINA MEIGANGA,MEIGANGA,,,REGISSEUR
Prison de Tignère : achat moulins à céréales(du Projet N° 3-56-01-227-083),1500,0851102622791,,FARO ET DEO,TIGNERE,RECET FINA TIGNERE,TIGNERE,,,REGISSEUR
Tribunal de Tibati : amenagement(du Projet N° 2-30-01-222-802),7073,085310052220,,DJEREM,TIBATI,RECET FINA TIBATI,Tibati,,,PR
Palais de Justice de Tibati : Procédure d'immatriculation(du Projet N° 3-56-01-207-207),300,0856102422011,,DJEREM,TIBATI,RECET FINA TIBATI,Tibati,,,Procureur de la République
Palais de Justice de Banyo : Procédure d'immatriculation(du Projet N° 3-56-01-207-207),82,085710042201,,MAYO BANYO,BANYO,RECET FINA BANYO,BANYO,,,Procureur de la République
Palais de Justice de Meiganga : Procédure d'immatriculation(du Projet N° 3-56-01-207-207),2635,085710182201,,MBERE,MEIGANGA,RECET FINA MEIGANGA,MEIGANGA,,,Procureur de la République
Palais de Justice de Tignère : Procédure d'immatriculation(du Projet N° 3-56-01-207-207),367,085710262201,,FARO ET DEO,TIGNERE,RECET FINA TIGNERE,TIGNERE,,,Procureur de la République
Ciat sécurité publique de Bankim : Construction (phase 1)(du Projet N° 2-30-02-222-120),43200,125510042220,,MAYO BANYO,BANKIM,PAIERIE GENERALE,BANKIM,,,DGSN
Construction Ciat Spécial et Poste de SP de Belel (phase 2 et finale)(du Projet N° 2-30-02-222-120),40000,125510062220,,VINA,BELEL,PAIERIE GENERALE,BELEL,,,DGSN
Construction Ciat Spécial de Mayo-Banyo(du Projet N° 2-30-02-222-120),51391,1256100422201,,MAYO BANYO,BANYO,PAIERIE GENERALE,BANYO,,,DGSN
Travaux des réfection Ciat Spécial Mayo-Darle(du Projet N° 2-30-02-222-120),9800,1256100422202,,MAYO BANYO,Sous préfecture MAYO-DARLE,PERCEPTION MAYO DARLE,MAYO - DARLE,,,DRSN
Centre de secours de Ngaoundéré : Achèvement construction(GROUPE TECHNICAM)(du Projet N° 2-07-02-278-888),50000,134410102220,,VINA,NGAOUNDERE (MBIDENG),PAIERIE GENERALE,NGAOUNDERE (V),,,MINDEF
SMT N°5 : Réhabilitation du logement du COM secteur(du Projet N° 2-07-02-278-888),15000,134410102225,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE (V),,,COM SMT N°5
SMT N°5 : Réhabilitation du bâtiment abritant le PC(du Projet N° 2-07-02-278-888),15000,134410102230,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE (V),,,COMSMT5
31° BCS : Réhabilitation du batiment(du Projet N° 2-05-03-205-654),15000,1352102222202,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE (V),,,COM 31° BCS
51° BIM: Achèvement construction Hangar Silo (ETS NEMA)(du Projet N° 2-05-03-205-654),13546,1352102222261,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE (V),,,COM 51° BIM
IDOOL : Construction du poste de Gendarmerie(du Projet N° 2-05-03-205-654),50000,1355100622201,,VINA,BELEL,PAIERIE GENERALE,Idool,,,MINDEF
"CPEFAN :Réfection de l'infirmerie de Ngaoundal 2° phase (bloc administratif, toilettes, bloc maternité)(du Projet N° 2-05-03-205-654)",25000,1359102022211,,DJEREM,NGAOUNDAL,PERCEPTION NGAOUNDAL,NGAOUNDAL,,,MEDECIN CHEF CPFAN
Réhabilitation de la DR de l'Adamaoua(du Projet N° 2-30-01-222-359),30000,1444101022200,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE,,,DRMINCULT
NGAOUNDÉRÉ 1-ADAMAOUA.-Suivi de l'exécution physico financière des Projets d'Investissement(DREB)(du Projet N° 2-30-01-203-157),4000,154410102021,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE,,,DREB
NGAOUNDÉRÉ 1-DREB ADAMAOUA-Opérations de collecte supervisées à la DREB ADAMAOUA(du Projet N° 3-56-01-205-154),4943,154410102027,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE,,,DREB
TIGNERE-DDEB FARO-ET-DEO-Equipement des Services Exterieurs en Materiel Informatique et Accessoires(1ordinateur+imprimante+photocopieur+onduleur)(du Projet N° 3-56-01-227-001),2000,154510102276,,FARO ET DEO,TIGNERE,RECET FINA TIGNERE,TIGNERE,,,DDEB
NGAOUNDÉRÉ 1-DDEB VINA-Construction d''un(e) DDEB(du Projet N° 2-30-02-222-889),42000,154510252222,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE,,,DDEB
BELEL-IAEB BELEL-Construction d''un(e) IAEB(du Projet N° 3-54-02-202-340),27500,154710062222,,VINA,BELEL,PERCEPTION BELEL,BELEL,,,DDEB
NGAOUNDAL-IAEB NGAOUNDAL-Equipement des IAEB et ENIEG en Materiel de bureau(du Projet N° 2-30-02-226-172),1500,154710202260,,DJEREM,NGAOUNDAL,RECET FINA TIBATI,NGAOUNDAL,,,DDEB
NGAOUNDÉRÉ 2-IAEB NGAOUNDERE 2-Equipement des IAEB et ENIEG en Materiel de bureau(du Projet N° 2-30-02-226-172),1500,1547102222601,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE II,,,DDEB
NGAOUNDÉRÉ 2-IAEB NGAOUNDERE 2-Equipement des Services Exterieurs en Mobilier de Bureau(du Projet N° 4-02-08-204-102),1000,1547102222611,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE II,,,DDEB
MARTAP-IAEB MARTAP-Equipement des Services Exterieurs en Mobilier de Bureau(du Projet N° 4-02-08-204-102),1000,1547102222612,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,MARTAP,,,DDEB
NGAOUNDÉRÉ 2-IAEB NGAOUNDERE 2-Equipement des Services Exterieurs en Materiel Informatique et Accessoires(1ordinateur+imprimante+photocopieur+onduleur)(du Projet N° ,2000,1547102222761,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE,,,DDEB
TIGNERE-IAEB TIGNERE-Construction d''un(e) IAEB(Travaux de finitions)(du Projet N° 3-54-02-202-340),20000,154710262222,,FARO ET DEO,TIGNERE,RECET FINA TIGNERE,TIGNERE,,,DDEB
NGAOUNDÉRÉ 1-ENIEG NGAOUNDERE-Equipement des IAEB et ENIEG en Materiel de bureau(du Projet N° 2-30-02-226-172),1500,155810222260,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE 1,,,DDEB
NGAOUNDÉRÉ 1-ENIEG NGAOUNDERE-Equipement des Services Exterieurs en Materiel Informatique et Accessoires(1ordinateur+imprimante+photocopieur+onduleur)(du Projet N° ,2000,155810222276,,VINA,NGAOUNDERE (MBIDENG),TRESORERIE NGAOUNDERE,NGAOUNDERE,,,DD EB
BANKIM-EP ATTA PETEL DE MAMBEKI-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410022222,,MAYO BANYO,BANKIM,Commune de BANKIM,BANKIM,,,Maire
BANKIM-EP ATTA PETEL DE MAMBEKI-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410022261,,MAYO BANYO,BANKIM,Commune de BANKIM,BANKIM,,,Maire
BANKIM-EP ATTA PETEL DE MAMBEKI-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410022270,,MAYO BANYO,BANKIM,Commune de BANKIM,BANKIM,,,Maire
BANYO-EP KOUI LOUGGA-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410042222,,MAYO BANYO,BANYO,Commune de BANYO,BANYO,,,Maire
BANYO-EP MBAMTI KATARKO-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410042243,,MAYO BANYO,BANYO,Commune de BANYO,BANYO,,,Maire
BANYO-EP KOUI LOUGGA-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410042261,,MAYO BANYO,BANYO,Commune de BANYO,BANYO,,,Maire
BANYO-EP KOUI LOUGGA-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410042270,,MAYO BANYO,BANYO,Commune de BANYO,BANYO RURAL,,,Maire
BELEL-EP BELEL GR II-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410062222,,VINA,BELEL,Commune de BELEL,BELEL,,,Maire
BELEL-EP BELEL GR II-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410062261,,VINA,BELEL,Commune de BELEL,BELEL,,,Maire
BELEL-EP BELEL GR II-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410062270,,VINA,BELEL,Commune de BELEL,BELEL (V),,,Maire
DIR-EP DOUA-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410082222,,MBERE,DIR,Commune de DIR,DOUA,,,Maire
DIR-EP DOUA-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410082261,,MBERE,DIR,Commune de DIR,DIR,,,Maire
MEIGANGA-EP MIKILA-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410082261,,MBERE,MEIGANGA,Commune de MEIGANGA,MEIGANGA,,,Maire
MEIGANGA-EP GOUIGO-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410082261,,MBERE,MEIGANGA,Commune de MEIGANGA,MEIGANGA,,,Maire
MEIGANGA-EP MIKILA-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410082270,,MBERE,MEIGANGA,Commune de MEIGANGA,MEIGANGA,,,Maire
DIR-EP DOUA-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410082270,,MBERE,DIR,Commune de DIR,DOUA,,RT,Maire
MEIGANGA-EP GOUIGO-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410082270,,MBERE,MEIGANGA,Commune de MEIGANGA,MEIGANGA,,,Maire
DJOHONG-EP DJOHONG GROUPE 2-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410102222,,MBERE,DJOHONG,Commune de DJOHONG,DJOHONG,,,Maire
DJOHONG-EP DJOHONG GROUPE 2-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410102243,,MBERE,DJOHONG,Commune de DJOHONG,DJOHONG,,,Maire
DJOHONG-EP DJOHONG GROUPE 2-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410102261,,MBERE,DJOHONG,Commune de DJOHONG,DJOHONG,,,Maire
DJOHONG-EP DJOHONG GROUPE 2-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410102270,,MBERE,DJOHONG,Commune de DJOHONG,DJOHONG (V),,,Maire
GALIM-TIGNERE-EP GARBAYA 2-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410122222,,FARO ET DEO,GALIM- TIGNERE,Commune de GALIM-TIGNERE,GALIM-TIGNERE,,,Maire
GALIM-TIGNERE- EM GALIM-TIGNERE-Construction d''un(e) Bloc Maternel(du Projet N° 2-30-02-224-242),25000,156410122222,,FARO ET DEO,GALIM- TIGNERE,Commune de GALIM-TIGNERE,GALIM-TIGNERE,,,Maire
GALIM-TIGNERE-EP LOMPTA-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410122243,,FARO ET DEO,GALIM- TIGNERE,Commune de GALIM-TIGNERE,GALIM-TIGNERE,,,Maire
GALIM-TIGNERE-EP GARBAYA 2-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410122261,,FARO ET DEO,GALIM- TIGNERE,Commune de GALIM-TIGNERE,GALIM-TIGNERE,,,Maire
"GALIM-TIGNERE- EM GALIM-TIGNERE-Equipement en mobilier (40 tables, 120 tables bancs, 6 tableaux sur chevalet)(du Projet N° 4-02-08-204-301)",2500,156410122261,,FARO ET DEO,GALIM- TIGNERE,Commune de GALIM-TIGNERE,GALIM-TIGNERE,,,Maire
GALIM-EP TIGNERE-GARBAYA 2-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410122270,,FARO ET DEO,GALIM- TIGNERE,Commune de GALIM-TIGNERE,GALIM - TIGNERE RURAL,,,Maire
MBE-EP MAROUARE-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410162222,,VINA,MBE,Commune de MBE,MBE,,,Maire
MBE-EP SASSA-MBERSI-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410162243,,VINA,MBE,Commune de MBE,SASSAN BERSI,,,Maire
MBE-EP MAROUARE-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410162261,,VINA,MBE,Commune de MBE,MBE,,,Maire
MBE-EP MAROUARE-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410162270,,VINA,MBE,Commune de MBE,MBE,,,Maire
MEIGANGA-EP MIKILA-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410182222,,MBERE,MEIGANGA,Commune de MEIGANGA,MEIGANGA (V),,,Maire
MEIGANGA-EP GOUIGO-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410182222,,MBERE,MEIGANGA,Commune de MEIGANGA,MEIGANGA,,,Maire
MEIGANGA-EP GUNBELA-Réhabilitation(du Projet N° 3-54-02-202-345),3649,156410182232,,MBERE,MEIGANGA,Commune de MEIGANGA,Gumbela,,,Maire
NGAOUNDAL-EP CAMP FARA-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410202222,,DJEREM,NGAOUNDAL,Commune de NGAOUNDAL,CAMP FARA,,,Maire
NGAOUNDAL-EP NGALBIZE-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410202243,,DJEREM,NGAOUNDAL,Commune de NGAOUNDAL,NGALBIZE,,,Maire
NGAOUNDAL- EP ALI AFFAIRE-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410202243,,DJEREM,NGAOUNDAL,Commune de NGAOUNDAL,NGAOUNDAL,,,Maire
NGAOUNDAL-EP CAMP FARA-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410202261,,DJEREM,NGAOUNDAL,Commune de NGAOUNDAL,NGAOUNDAL,,,Maire
NGAOUNDAL-EP CAMP FARA-Equipement en tables bancs  (60)(du Projet N° 3-40-00-226-235),1800,156410202270,,DJEREM,NGAOUNDAL,Commune de NGAOUNDAL,CAMP FARA,,,Maire
NGAOUNDÉRÉ 1-EP MARZA-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410222222,,VINA,NGAOUNDERE (MBIDENG),Commune de NGAOUNDERE Ier,NGAOUNDERE 1,,,Maire
NGAOUNDÉRÉ 1 -EM BURKINA-Construction d''un(e) Bloc Maternel(du Projet N° 2-30-02-224-242),25000,156410222222,,VINA,NGAOUNDERE (MBIDENG),Commune de NGAOUNDERE Ier,NGAOUNDERE 1,,,Maire
NGAOUNDÉRÉ 1-EP MARZA-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410222261,,VINA,NGAOUNDERE (MBIDENG),Commune de NGAOUNDERE Ier,NGAOUNDERE 1,,RT,Maire
"NGAOUNDÉRÉ 1- EM BURKINA-Equipement en mobilier (40 tables, 120 tables bancs, 6 tableaux sur chevalet)(du Projet N° 4-02-08-204-301)",2500,156410222261,,VINA,NGAOUNDERE (MBIDENG),Commune de NGAOUNDERE Ier,NGAOUNDERE 1,,,Maire
NGAOUNDÉRÉ 1-EP MARZA-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410222270,,VINA,NGAOUNDERE (MBIDENG),Commune de NGAOUNDERE Ier,MARZA,,,Maire
NGAOUNDÉRÉ 2-EP VELA MBAI-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410232222,,VINA,Ngaoundéré II (MABANGA),Commune de NGAOUNDERE IIe,NGAOUNDERE 2,,,Maire
NGAOUNDÉRÉ 2-EP VELA MBAI-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410232261,,VINA,Ngaoundéré II (MABANGA),Commune de NGAOUNDERE IIe,NGAOUNDERE 2,,,Maire
NGAOUNDÉRÉ 2-EP VELA MBAI-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410232270,,VINA,Ngaoundéré II (MABANGA),Commune de NGAOUNDERE IIe,NGAOUNDERE 2,,,Maire
TIBATI-EP LAINDE NGOUDA-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410242222,,DJEREM,TIBATI,Commune de TIBATI,Tibati,,,Maire
TIBATI-EP TIBATI GROUPE 2-Réhabilitation des EP(du Projet N° 3-54-02-202-345),10833,156410242232,,DJEREM,TIBATI,Commune de TIBATI,Tibati,,,Maire
TIBATI-EP MBAKAOU-Réhabilitation des EP(du Projet N° 3-54-02-202-345),7231,156410242232,,DJEREM,TIBATI,Commune de TIBATI,Tibati,,,Maire
TIBATI-EP LAINDE NGOUDA-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410242261,,DJEREM,TIBATI,Commune de TIBATI,Tibati,,,Maire
TIBATI-EP LAINDE NGOUDA-Equipement en tables bancs  (60)(du Projet N° 3-40-00-226-235),1800,156410242270,,DJEREM,TIBATI,Commune de TIBATI,Lainde Ngouna,,,Maire
NGAOUNDÉRÉ 3-EP MALANG GROUPE I-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410252222,,VINA,Ngaoundéré III (DANG),Commune de NGAOUNDERE IIIe,DANG,,,Maire
NGAOUNDÉRÉ 3-EP MALANG GROUPE I-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410252261,,VINA,Ngaoundéré III (DANG),Commune de NGAOUNDERE IIIe,MALANG,,,Maire
NGAOUNDÉRÉ 3-EP MALANG GROUPE I-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410252270,,VINA,Ngaoundéré III (DANG),Commune de NGAOUNDERE IIIe,MALANG,,,Maire
TIGNERE-EP MAGNANG-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410262222,,FARO ET DEO,TIGNERE,Commune de TIGNERE,TIGNERE,,,Maire
TIGNERE-EP MAGNANG-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410262243,,FARO ET DEO,TIGNERE,Commune de TIGNERE,TIGNERE,,,Maire
TIGNERE-EP MAGNANG-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410262261,,FARO ET DEO,TIGNERE,Commune de TIGNERE,TIGNERE,,,Maire
TIGNERE-EP MAGNANG-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410262270,,FARO ET DEO,TIGNERE,Commune de TIGNERE,TIGNERE,,,Maire
NGANHA-EP NGAN HA-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410282222,,VINA,NGANHA,Commune de Nganha,NGANHA,,,Maire
NGANHA-EP SEOUA-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410282222,,VINA,NGANHA,Commune de Nganha,NGANHA,,,Maire
NGANHA-EP NGAN HA-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410282243,,VINA,NGANHA,Commune de Nganha,NGANHA,,,Maire
NGANHA-EP SEOUA-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410282261,,VINA,NGANHA,Commune de Nganha,NGANHA,,,Maire
NGANHA-EP NGAN HA-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410282261,,VINA,NGANHA,Commune de Nganha,NGANHA,,,Maire
NGANHA-EP SEOUA-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410282270,,VINA,NGANHA,Commune de Nganha,NGANHA,,,Maire
NGANHA-EP NGAN HA-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410282270,,VINA,NGANHA,Commune de Nganha,NGANHA,,,Maire
NYAMBAKA-EP MANGOLI-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410302222,,VINA,NYAMBAKA,Commune de NYAMBAKA,NYAMBAKA,,,Maire
NYAMBAKA-EP BALEWA II-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410302222,,VINA,NYAMBAKA,Commune de NYAMBAKA,NYAMBAKA,,,Maire
NYAMBAKA-EP NYAMBAKA-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410302243,,VINA,NYAMBAKA,Commune de NYAMBAKA,NYAMBAKA,,,Maire
NYAMBAKA-EP MANGOLI-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410302261,,VINA,NYAMBAKA,Commune de NYAMBAKA,NYAMBAKA,,,Maire
NYAMBAKA-EP BALEWA II-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410302261,,VINA,NYAMBAKA,Commune de NYAMBAKA,NYAMBAKA,,,Maire
NYAMBAKA-EP BALEWA II-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410302270,,VINA,NYAMBAKA,Commune de NYAMBAKA,NYAMBAKA,,,Maire
NYAMBAKA-EP MANGOLI-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410302270,,VINA,NYAMBAKA,Commune de NYAMBAKA,NYAMBAKA,,,Maire
MARTAP-EP BAWA-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410322222,,VINA,MARTAP,Commune de MARTAP,MARTAP,,,Maire
MARTAP-EP BAWA-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410322261,,VINA,MARTAP,Commune de MARTAP,MARTAP,,,Maire
MARTAP-EP BAWA-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410322270,,VINA,MARTAP,Commune de MARTAP,MARTAP,,,Maire
Kontcha-EP DODEO-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410342222,,FARO ET DEO,Sous préfecture KONTCHA,Commune de KONTCHA,KONTCHA,,,Maire
Kontcha-EP DODEO-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410342261,,FARO ET DEO,Sous préfecture KONTCHA,Commune de KONTCHA,KONTCHA (V),,,Maire
Kontcha-EP DODEO-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410342270,,FARO ET DEO,Sous préfecture KONTCHA,Commune de KONTCHA,KONTCHA,,,Maire
NGAOUI-EP MBERE MIDAL-Construction de 2 salles de classe(du Projet N° 2-30-01-203-648),16000,156410362222,,MBERE,Sous préfecture NGAOUI,Commune de NGAOUI,NGAOUI,,,Maire
NGAOUI-EP DIEL-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410362243,,MBERE,Sous préfecture NGAOUI,Commune de NGAOUI,NGAOUI,,,Maire
NGAOUI-EP MBERE MIDAL-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410362261,,MBERE,Sous préfecture NGAOUI,Commune de NGAOUI,NGAOUI,,,Maire
NGAOUI-EP MBERE MIDAL-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410362270,,MBERE,Sous préfecture NGAOUI,Commune de NGAOUI,NGAOUI,,,Maire
MAYO-DARLE-EP MBAMGUERI-Construction de 2 salles de classe  EP(du Projet N° 2-30-01-203-648),16000,156410382222,,MAYO BANYO,Sous préfecture MAYO-DARLE,Commune de MAYO-DARLE,MAYO - DARLE,,,Maire
MAYO-DARLE-EP MAYO DJIGA-Construction d''un(e) Blocs Latrines(du Projet N° 2-30-01-203-003),3500,156410382243,,MAYO BANYO,Sous préfecture MAYO-DARLE,Commune de MAYO-DARLE,MAYO - DARLE,,,Maire
MAYO-DARLE-EP MBAMGUERI-Equipement en bureau de maître (2)(du Projet N° 3-40-00-226-239),250,156410382261,,MAYO BANYO,Sous préfecture MAYO-DARLE,Commune de MAYO-DARLE,MAYO - DARLE,,,Maire
MAYO-DARLE-EP MBAMGUERI-Equipement en tables bancs (60)(du Projet N° 3-40-00-226-235),1800,156410382270,,MAYO BANYO,Sous préfecture MAYO-DARLE,Commune de MAYO-DARLE,MAYO - DARLE,,,Maire
DDC Mberé : Equipement en mobilier de bureau(du Projet N° 3-50-03-226-170),4500,174510202260,,MBERE,MEIGANGA,RECET FINA MEIGANGA,MEIGANGA,,,DDCOM
Univ Ngaoundéré (ENSAI): Transfert en Capital pour études de réhabilitation(du Projet N° 3-56-01-202-384),60000,187310402813,,VINA,NGAOUNDERE (MBIDENG),PAIERIE GENERALE,NGAOUNDERE (V),,,Ministre
ESMV Ngaoundéré: Transfert en Capital Etude de construction(du Projet N° 3-56-01-203-072),100000,187310402813,,VINA,NGAOUNDERE (MBIDENG),PAIERIE GENERALE,NGAOUNDERE (V),,,Ministre
IUT Ngaoundéré: Transfert en Capital Construction du bloc pédagogique(du Projet N° 3-56-01-203-072),290000,187310402813,,VINA,NGAOUNDERE (MBIDENG),PAIERIE GENERALE,NGAOUNDERE (V),,,Ministre
Univ Ngaoundéré (Ecole des Mines et exploitation géolo): Transfert en Capital Construction(du Projet N° 3-56-01-203-072),100000,187310402813,,VINA,NGAOUNDERE (MBIDENG),PAIERIE GENERALE,NGAOUNDERE (V),,,Ministre
Univ Ngaoundéré (Fac Sc): Transfert en Capital pour Construction des labos phase 3(du Projet N° 3-56-01-203-072),300000,187310402813,,VINA,NGAOUNDERE (MBIDENG),PAIERIE GENERALE,NGAOUNDERE (V),,,Ministre
Univ Ngaoundéré (Ecole des Mines et exploitation géologique): Transfert en Capital pour Etude de construction(du Projet N° 3-56-01-203-072),150000,187310402813,,VINA,NGAOUNDERE (MBIDENG),PAIERIE GENERALE,NGAOUNDERE (V),,,Ministre
